pseudocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,total_boys_cwsn_toilet,func_boys_cwsn_friendly,total_girls_cwsn_toilet,func_girls_cwsn_friendly,urinal_boys,urinal_girls,handwash_near_toilet,hand_pump_yn,well_prot_yn,tap_yn,othsrc_yn,well_unprot_yn,pack_water_yn,hand_pump_fun_yn,well_prot_fun_yn,tap_fun_yn,othsrc_fun_yn,well_unprot_fun_yn,pack_water_fun_yn,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,book_bank,reading_corner,playground_available,playground_alt_yn,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,phy_lab_cond,chem_lab_cond,bio_lab_cond,math_lab_cond,lang_lab_cond,geo_lab_cond,home_sc_lab_cond,psycho_lab_cond,comp_lab_cond,comp_ict_lab_yn,ict_lab_yn,laptop,tablet,desktop,digiboard,teachdev_tot,server_tot,smart_class_tv_tot,projector,printer,internet,dth,spl_educator_yn,Cluster,Deficit_Tier
4942571,3,13,13,1,37,37,37,0,0,1,0,0,7,7,0,0,1,1,0,40,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,1,9,1,1,2,1,1,1,1,4,4,4,4,4,2,1,1,9,1,20,0,2,1,2,3,2,1,2,2,1,Moderate Deficit
7969772,3,3,1,5,5,1,2,0,0,2,1,1,1,1,1,1,0,0,3,3,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,2,9,1,0,0,0,0,0,0,0,0,0,1,9,2,2,1,810,0,0,1,0,0,1,2,2,0,Server Deficit
8944950,2,14,6,1,14,11,22,0,0,1,6,6,10,10,1,1,0,0,15,20,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,9,1,1,1,1,2,1,1,1,1,4,4,4,1,1,1,10,0,20,0,0,1,0,1,1,1,1,3,1,Moderate Deficit
1097837,1,6,5,1,37,14,32,0,0,1,0,0,1,1,0,0,6,6,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,1,1,1,1,1,1,4,1,4,1,2,9,0,0,27,0,25,0,0,1,4,1,2,3,1,Moderate Deficit
9307264,3,2,2,2,5,0,2,0,0,2,2,2,1,1,0,0,0,0,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,0,0,1,0,2,2,2,2,Well Equipped
9662924,2,1,1,1,5,2,5,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,1,2,2,2,Well Equipped
6806223,3,6,3,2,5,2,3,0,2,2,1,1,4,4,1,1,0,0,6,8,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,2,1,1,1,0,0,0,0,0,0,0,0,0,2,9,2,3,0,0,0,0,1,0,0,2,2,2,2,Well Equipped
7162648,2,8,8,2,7,3,7,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,1,1,1,1,1,1,1,2,2,Well Equipped
3169751,2,9,8,2,13,5,13,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2,2,1,2,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,0,10,1,0,1,1,1,1,2,2,Well Equipped
5184355,3,7,1,7,2,2,2,0,0,2,1,1,1,1,0,0,0,0,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,9,1,1,1,2,0,0,0,0,0,0,0,0,0,2,9,1,2,1,0,1,0,1,0,0,1,2,2,2,Well Equipped
