pseudocode,total_tch,male,female,transgender,gen_tch,sc_tch,st_tch,obc_tch,regular,contract,part_time,below_graduate,graduate,post_graduate_and_above,trained_comp,class_taught_pr,class_taught_upr,class_taught_pr_upr,class_taught_sec_only,class_taught_hsec_only,class_taught_upr_sec,class_taught_sec_hsec,class_taugt_pre_primary_only,class_taught_pr_and_pre_pri,teacher_involve_non_training_assignment,diploma_certificate,bachelor_of_ee,bed_equivalent,med_equivalent,other,none,diploma_special_edu,pursuing_rpc,diploma_ele_edu,early_childhood_tch,bed_nursery,trained_cwsn,Cluster,Deficit_Tier
3485023,2,0,2,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Server Deficit
3485642,2,2,0,0,0,0,1,1,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Server Deficit
3489833,7,5,2,0,1,2,0,4,7,0,0,2,2,3,2,4,2,1,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,1,Moderate Deficit
3495365,15,8,7,0,10,1,0,4,15,0,0,1,3,11,6,3,2,1,0,2,3,4,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,2,Well Equipped
3508747,2,2,0,0,0,0,1,1,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Server Deficit
3516982,13,10,3,0,1,3,4,5,13,0,0,2,2,9,1,3,0,1,0,1,6,2,0,0,0,2,0,10,0,1,0,0,0,0,0,0,0,2,Well Equipped
3520083,10,9,1,0,2,1,2,5,7,3,0,3,4,3,2,4,1,4,1,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,1,Moderate Deficit
3520351,9,3,6,0,7,0,0,2,9,0,0,0,1,8,3,0,2,1,1,0,5,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,Moderate Deficit
3535812,2,2,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Server Deficit
3537937,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Server Deficit
3542895,8,8,0,0,1,2,0,5,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3543813,2,2,0,0,0,0,2,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Server Deficit
3543871,2,0,2,0,0,0,0,2,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Server Deficit
3544453,2,2,0,0,1,0,0,1,2,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Server Deficit
3556315,2,1,1,0,0,0,2,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Server Deficit
3556588,2,1,1,0,1,0,0,1,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,Server Deficit
3568700,23,12,11,0,7,3,2,11,0,23,0,1,9,13,0,7,5,2,2,0,1,5,1,0,0,0,0,17,0,0,6,0,0,0,0,0,0,2,Well Equipped
3569544,12,5,7,0,2,1,1,8,12,0,0,2,6,4,2,5,3,3,0,0,0,0,0,1,1,0,0,7,0,0,5,0,0,0,0,0,2,1,Moderate Deficit
3570922,7,6,1,0,2,1,1,3,7,0,0,2,4,1,4,3,2,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,1,Moderate Deficit
3573638,9,1,8,0,5,1,0,3,9,0,0,1,1,7,2,4,5,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,1,Moderate Deficit
3575484,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Server Deficit
3584861,6,4,2,0,4,2,0,0,6,0,0,0,0,6,0,0,1,1,0,0,4,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,Moderate Deficit
3586850,6,5,1,0,2,0,0,4,6,0,0,0,2,4,5,1,3,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,Moderate Deficit
3601297,13,11,2,0,4,3,0,6,13,0,0,2,6,5,4,3,1,2,4,1,1,1,0,0,0,3,0,9,0,0,0,0,0,1,0,0,0,2,Well Equipped
3608604,4,4,0,0,0,0,3,1,3,0,1,1,0,3,2,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,Server Deficit
3615175,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Server Deficit
3616784,6,5,1,0,1,1,1,3,6,0,0,1,2,3,3,2,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,1,Moderate Deficit
3616980,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Server Deficit
3625695,2,2,0,0,0,1,1,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Server Deficit
3636847,2,2,0,0,1,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Server Deficit
3642336,2,1,1,0,1,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Server Deficit
3643939,14,13,1,0,5,0,6,3,14,0,0,0,4,10,2,2,1,1,4,3,2,1,0,0,0,0,0,11,0,1,0,0,0,2,0,0,0,2,Well Equipped
3644929,6,3,3,0,3,2,0,1,6,0,0,1,2,3,0,2,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,Moderate Deficit
3645281,9,7,2,0,5,1,2,1,9,0,0,0,6,3,1,2,0,2,0,0,4,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,Moderate Deficit
